"[A]자치구별","자치구별","[B]감염병별","감염병별","[C]성별","성별","[Item]항목","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년",
"001","서울시","001013","중증급성호흡기증후군(SARS)","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001014","중동호흡기증후군(MERS)","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001015","동물인플루엔자 인체감염증","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001016","신종인플루엔자","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001016","신종인플루엔자","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001016","신종인플루엔자","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001017","디프테리아","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","001017","디프테리아","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","001017","디프테리아","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002","제2급감염병","001001","발생","T001","법정감염병 발생현황","건","15002","15226","5452530","16005","22789",
"001","서울시","002","제2급감염병","001001001","남","T001","법정감염병 발생현황","건","","","","9113","12919",
"001","서울시","002","제2급감염병","001001002","여","T001","법정감염병 발생현황","건","","","","6892","9870",
"001","서울시","002","제2급감염병","001002","사망","T001","법정감염병 발생현황","건","317","332","4604","247","200",
"001","서울시","002","제2급감염병","001002001","남","T001","법정감염병 발생현황","건","","","","143","135",
"001","서울시","002","제2급감염병","001002002","여","T001","법정감염병 발생현황","건","","","","104","65",
"001","서울시","002001","결핵","001001","발생","T001","법정감염병 발생현황","건","3486","3067","2756","","",
"001","서울시","002001","결핵","001002","사망","T001","법정감염병 발생현황","건","207","224","201","","",
"001","서울시","002002","수두","001001","발생","T001","법정감염병 발생현황","건","3870","2832","2426","3135","3487",
"001","서울시","002002","수두","001001001","남","T001","법정감염병 발생현황","건","","","","1689","1981",
"001","서울시","002002","수두","001001002","여","T001","법정감염병 발생현황","건","","","","1446","1506",
"001","서울시","002002","수두","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002002","수두","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002002","수두","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002003","홍역","001001","발생","T001","법정감염병 발생현황","건","1","-","-","-","7",
"001","서울시","002003","홍역","001001001","남","T001","법정감염병 발생현황","건","","","","-","4",
"001","서울시","002003","홍역","001001002","여","T001","법정감염병 발생현황","건","","","","-","3",
"001","서울시","002003","홍역","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002003","홍역","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002003","홍역","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002020","콜레라","001001","발생","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002020","콜레라","001001001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002020","콜레라","001001002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002020","콜레라","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002020","콜레라","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002020","콜레라","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002004","장티푸스","001001","발생","T001","법정감염병 발생현황","건","8","3","9","1","8",
"001","서울시","002004","장티푸스","001001001","남","T001","법정감염병 발생현황","건","","","","1","3",
"001","서울시","002004","장티푸스","001001002","여","T001","법정감염병 발생현황","건","","","","-","5",
"001","서울시","002004","장티푸스","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002004","장티푸스","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002004","장티푸스","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002005","파라티푸스","001001","발생","T001","법정감염병 발생현황","건","4","7","4","3","1",
"001","서울시","002005","파라티푸스","001001001","남","T001","법정감염병 발생현황","건","","","","2","1",
"001","서울시","002005","파라티푸스","001001002","여","T001","법정감염병 발생현황","건","","","","1","-",
"001","서울시","002005","파라티푸스","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002005","파라티푸스","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002005","파라티푸스","001002002","여","T001","법정감염병 발생현황","건","","","","-","-",
"001","서울시","002006","세균성이질","001001","발생","T001","법정감염병 발생현황","건","3","4","4","4","4",
"001","서울시","002006","세균성이질","001001001","남","T001","법정감염병 발생현황","건","","","","2","3",
"001","서울시","002006","세균성이질","001001002","여","T001","법정감염병 발생현황","건","","","","2","1",
"001","서울시","002006","세균성이질","001002","사망","T001","법정감염병 발생현황","건","-","-","-","-","-",
"001","서울시","002006","세균성이질","001002001","남","T001","법정감염병 발생현황","건","","","","-","-",
