location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
South Korea,KOR,2021-02-26,50357,39176,11394,2,,,0.1,0.08,0.02,0.0,,,
South Korea,KOR,2021-02-27,52325,40922,11615,2,1968,1968,0.1,0.08,0.02,0.0,38,1746,0.003
South Korea,KOR,2021-02-28,53465,41948,11723,2,1140,1554,0.1,0.08,0.02,0.0,30,1386,0.003
South Korea,KOR,2021-03-01,55673,43876,11992,2,2208,1772,0.11,0.08,0.02,0.0,34,1567,0.003
South Korea,KOR,2021-03-02,122214,108696,12303,3,66541,17964,0.24,0.21,0.02,0.0,347,17380,0.034
South Korea,KOR,2021-03-03,191926,176833,12632,3,69712,28314,0.37,0.34,0.02,0.0,546,27531,0.053
South Korea,KOR,2021-03-04,263150,246872,13154,3,71224,35466,0.51,0.48,0.03,0.0,684,34616,0.067
South Korea,KOR,2021-03-05,334741,317804,13577,3,71591,40626,0.65,0.61,0.03,0.0,784,39804,0.077
South Korea,KOR,2021-03-06,353363,336281,13742,3,18622,43005,0.68,0.65,0.03,0.0,830,42194,0.081
South Korea,KOR,2021-03-07,355881,338726,13848,3,2518,43202,0.69,0.65,0.03,0.0,834,42397,0.082
South Korea,KOR,2021-03-08,424232,406588,14120,3,68351,52651,0.82,0.78,0.03,0.0,1016,51816,0.1
South Korea,KOR,2021-03-09,488978,470674,14599,3,64746,52395,0.94,0.91,0.03,0.0,1011,51711,0.1
South Korea,KOR,2021-03-10,544320,525569,15180,3,55342,50342,1.05,1.01,0.03,0.0,972,49819,0.096
South Korea,KOR,2021-03-11,590210,570964,15850,3,45890,46723,1.14,1.1,0.03,0.0,902,46299,0.089
South Korea,KOR,2021-03-12,629765,610152,16451,3,39555,42146,1.22,1.18,0.03,0.0,813,41764,0.081
South Korea,KOR,2021-03-13,634422,614674,16668,3,4657,40151,1.22,1.19,0.03,0.0,775,39770,0.077
South Korea,KOR,2021-03-14,636313,616490,16811,3,1891,40062,1.23,1.19,0.03,0.0,773,39681,0.077
South Korea,KOR,2021-03-15,650798,630679,18005,3,14485,32367,1.26,1.22,0.03,0.0,625,32013,0.062
South Korea,KOR,2021-03-16,671680,651208,19055,3,20882,26100,1.3,1.26,0.04,0.0,504,25791,0.05
South Korea,KOR,2021-03-17,693429,672627,19981,3,21749,21301,1.34,1.3,0.04,0.0,411,21008,0.041
South Korea,KOR,2021-03-18,714736,693403,20895,3,21307,17789,1.38,1.34,0.04,0.0,343,17491,0.034
South Korea,KOR,2021-03-19,733746,711991,21922,3,19010,14854,1.42,1.37,0.04,0.0,287,14548,0.028
South Korea,KOR,2021-03-20,736255,714009,22469,3,2509,14548,1.42,1.38,0.04,0.0,281,14191,0.027
South Korea,KOR,2021-03-21,737520,714866,22926,3,1265,14458,1.42,1.38,0.04,0.0,279,14054,0.027
South Korea,KOR,2021-03-22,743059,719752,23706,3,5539,13180,1.43,1.39,0.05,0.0,254,12725,0.025
South Korea,KOR,2021-03-23,765805,738358,25028,3,22746,13446,1.48,1.42,0.05,0.0,259,12450,0.024
South Korea,KOR,2021-03-24,796872,763131,26674,3,31067,14778,1.54,1.47,0.05,0.0,285,12929,0.025
South Korea,KOR,2021-03-25,832446,792394,28664,3,35574,16816,1.61,1.53,0.06,0.0,325,14142,0.027
South Korea,KOR,2021-03-26,860163,816554,30796,3,27717,18060,1.66,1.58,0.06,0.0,349,14938,0.029
South Korea,KOR,2021-03-27,863048,819027,31201,3,2885,18113,1.67,1.58,0.06,0.0,350,15003,0.029
South Korea,KOR,2021-03-28,864185,819921,31465,3,1137,18095,1.67,1.58,0.06,0.0,349,15008,0.029
South Korea,KOR,2021-03-29,892426,841377,32934,3,28241,21338,1.72,1.62,0.06,0.0,412,17375,0.034
South Korea,KOR,2021-03-30,924008,864751,35724,3,31582,22600,1.78,1.67,0.07,0.0,436,18056,0.035
South Korea,KOR,2021-03-31,953407,884446,41180,3,29399,22362,1.84,1.71,0.08,0.0,432,17331,0.033
South Korea,KOR,2021-04-01,999498,918362,49231,3,46091,23865,1.93,1.77,0.1,0.0,461,17995,0.035
South Korea,KOR,2021-04-02,1047447,956296,56961,3,47949,26755,2.02,1.85,0.11,0.0,516,19963,0.039
South Korea,KOR,2021-04-03,1058021,965539,57964,3,10574,27853,2.04,1.86,0.11,0.0,538,20930,0.04
South Korea,KOR,2021-04-04,1059560,966806,58273,4,1539,27911,2.04,1.87,0.11,0.0,539,20984,0.04
South Korea,KOR,2021-04-05,1098358,1001144,60065,4,38798,29419,2.12,1.93,0.12,0.0,568,22824,0.044
South Korea,KOR,2021-04-06,1145113,1037120,67641,4,46755,31586,2.21,2.0,0.13,0.0,610,24624,0.048
South Korea,KOR,2021-04-07,1194751,1073092,78972,4,49638,34478,2.31,2.07,0.15,0.0,665,26949,0.052
South Korea,KOR,2021-04-08,1245002,1109421,90991,4,50251,35072,2.4,2.14,0.18,0.0,677,27294,0.053
South Korea,KOR,2021-04-09,1289870,1143426,100927,4,44868,34632,2.49,2.21,0.19,0.0,668,26733,0.052
South Korea,KOR,2021-04-10,1302157,1153618,103270,5,12287,34877,2.51,2.23,0.2,0.0,673,26868,0.052
South Korea,KOR,2021-04-11,1303855,1154906,103776,5,1698,34899,2.52,2.23,0.2,0.0,674,26871,0.052
South Korea,KOR,2021-04-12,1345411,1192831,106312,5,41556,35293,2.6,2.3,0.21,0.0,681,27384,0.053
South Korea,KOR,2021-04-13,1392364,1235645,108168,5,46953,35322,2.69,2.38,0.21,0.0,682,28361,0.055
South Korea,KOR,2021-04-14,1440688,1279952,109226,5,48324,35134,2.78,2.47,0.21,0.0,678,29551,0.057
South Korea,KOR,2021-04-15,1535907,1368601,110225,5,95219,41558,2.96,2.64,0.21,0.0,802,37026,0.071
South Korea,KOR,2021-04-16,1641438,1467872,111598,5,105531,50224,3.17,2.83,0.22,0.0,969,46349,0.089
South Korea,KOR,2021-04-17,1672687,1496989,112332,5,31249,52933,3.23,2.89,0.22,0.0,1022,49053,0.095
South Korea,KOR,2021-04-18,1678810,1502510,112787,5,6123,53565,3.24,2.9,0.22,0.0,1034,49658,0.096
South Korea,KOR,2021-04-19,1802940,1620774,113746,5,124130,65361,3.48,3.13,0.22,0.0,1261,61135,0.118
South Korea,KOR,2021-04-20,1935808,1747278,114998,5,132868,77635,3.74,3.37,0.22,0.0,1498,73090,0.141
South Korea,KOR,2021-04-21,2070713,1875601,116527,5,134905,90004,4.0,3.62,0.22,0.0,1737,85093,0.164
South Korea,KOR,2021-04-22,2223238,2003703,135011,5,152525,98190,4.29,3.87,0.26,0.0,1895,90729,0.175
South Korea,KOR,2021-04-23,2404847,2160210,154711,5,181609,109058,4.64,4.17,0.3,0.0,2105,98905,0.191
South Korea,KOR,2021-04-24,2477547,2224700,161141,5,72700,114980,4.78,4.29,0.31,0.0,2219,103959,0.201
South Korea,KOR,2021-04-25,2485750,2231751,162125,5,8203,115277,4.8,4.31,0.31,0.0,2225,104177,0.201
South Korea,KOR,2021-04-26,2651358,2370104,183472,5,165608,121203,5.12,4.57,0.35,0.0,2339,107047,0.207
South Korea,KOR,2021-04-27,2851481,2541640,205264,5,200123,130810,5.5,4.91,0.4,0.0,2525,113480,0.219
South Korea,KOR,2021-04-28,3105255,2766739,225873,5,253774,147792,5.99,5.34,0.44,0.0,2852,127305,0.246
South Korea,KOR,2021-04-29,3398591,3021489,255496,5,293336,167908,6.56,5.83,0.49,0.0,3240,145398,0.281
South Korea,KOR,2021-04-30,3707969,3293045,285959,6,309378,186160,7.16,6.36,0.55,0.0,3593,161834,0.312
South Korea,KOR,2021-05-01,3757936,3333479,294514,6,49967,182913,7.25,6.43,0.57,0.0,3530,158397,0.306
South Korea,KOR,2021-05-02,3761718,3335949,295824,6,3782,182281,7.26,6.44,0.57,0.0,3518,157743,0.304
South Korea,KOR,2021-05-03,3880814,3421461,326454,6,119096,175637,7.49,6.6,0.63,0.0,3390,150194,0.29
South Korea,KOR,2021-05-04,3989645,3496053,357680,6,108831,162595,7.7,6.75,0.69,0.0,3138,136345,0.263
South Korea,KOR,2021-05-05,4023271,3503040,383012,7,33626,131145,7.76,6.76,0.74,0.0,2531,105186,0.203
South Korea,KOR,2021-05-06,4157188,3561899,453637,7,133917,108371,8.02,6.87,0.88,0.0,2091,77201,0.149
South Korea,KOR,2021-05-07,4285118,3611182,527835,7,127930,82450,8.27,6.97,1.02,0.0,1591,45448,0.088
South Korea,KOR,2021-05-08,4327600,3624733,555326,7,42482,81381,8.35,7.0,1.07,0.0,1571,41608,0.08
South Korea,KOR,2021-05-09,4334199,3625780,560776,7,6599,81783,8.36,7.0,1.08,0.0,1578,41404,0.08
South Korea,KOR,2021-05-10,4428007,3641198,635245,7,93808,78170,8.55,7.03,1.23,0.0,1509,31391,0.061
South Korea,KOR,2021-05-11,4519777,3651559,712794,7,91770,75733,8.72,7.05,1.38,0.0,1462,22215,0.043
South Korea,KOR,2021-05-12,4611466,3659588,792469,7,91689,84028,8.9,7.06,1.53,0.0,1622,22364,0.043
South Korea,KOR,2021-05-13,4701168,3670436,867687,7,89702,77711,9.07,7.08,1.67,0.0,1500,15505,0.03
South Korea,KOR,2021-05-14,4795474,3683558,945287,7,94306,72908,9.25,7.11,1.82,0.0,1407,10339,0.02
South Korea,KOR,2021-05-15,4829727,3686709,975098,8,34253,71732,9.32,7.12,1.88,0.0,1384,8854,0.017
South Korea,KOR,2021-05-16,4837101,3688329,980722,8,7374,71843,9.34,7.12,1.89,0.0,1387,8936,0.017
South Korea,KOR,2021-05-17,4952973,3703120,1077266,8,115872,74995,9.56,7.15,2.08,0.0,1447,8846,0.017
South Korea,KOR,2021-05-18,5108932,3716784,1214019,8,155959,84165,9.86,7.17,2.34,0.0,1624,9318,0.018
South Korea,KOR,2021-05-19,5206194,3720619,1303496,8,97262,84961,10.05,7.18,2.52,0.0,1640,8719,0.017
South Korea,KOR,2021-05-20,5431135,3734292,1506563,8,224941,104281,10.48,7.21,2.91,0.0,2013,9122,0.018
South Korea,KOR,2021-05-21,5672962,3750169,1725389,8,241827,125355,10.95,7.24,3.33,0.0,2419,9516,0.018
South Korea,KOR,2021-05-22,5716079,3756541,1761213,8,43117,126622,11.03,7.25,3.4,0.0,2444,9976,0.019
South Korea,KOR,2021-05-23,5720375,3757625,1764362,8,4296,126182,11.04,7.25,3.41,0.0,2435,9899,0.019
South Korea,KOR,2021-05-24,5898177,3826854,1866798,10,177802,135029,11.38,7.39,3.6,0.0,2606,17676,0.034
South Korea,KOR,2021-05-25,6072067,3902968,1959044,10,173890,137591,11.72,7.53,3.78,0.0,2655,26598,0.051
South Korea,KOR,2021-05-26,6229612,3988113,2026534,11,157545,146203,12.02,7.7,3.91,0.0,2822,38213,0.074
South Korea,KOR,2021-05-27,6947629,4641224,2082100,11,718017,216642,13.41,8.96,4.02,0.0,4181,129562,0.25
South Korea,KOR,2021-05-28,7559286,5179746,2147592,11,611657,269475,14.59,10.0,4.14,0.0,5201,204225,0.394
South Korea,KOR,2021-05-29,7735098,5344265,2157193,12,175812,288431,14.93,10.31,4.16,0.0,5566,226818,0.438
South Korea,KOR,2021-05-30,7742053,5350571,2157881,13,6955,288811,14.94,10.33,4.16,0.0,5574,227564,0.439
South Korea,KOR,2021-05-31,8157320,5731333,2185321,15,415267,322735,15.74,11.06,4.22,0.0,6229,272068,0.525
South Korea,KOR,2021-06-01,8753045,6291306,2212157,17,595725,382997,16.89,12.14,4.27,0.0,7392,341191,0.658
South Korea,KOR,2021-06-02,9160473,6668448,2235511,18,407428,418694,17.68,12.87,4.31,0.0,8080,382905,0.739
South Korea,KOR,2021-06-03,9532430,7007778,2261826,19,371957,369257,18.4,13.52,4.37,0.0,7126,338079,0.652
South Korea,KOR,2021-06-04,9934144,7372798,2293034,21,401714,339265,19.17,14.23,4.43,0.0,6548,313293,0.605
South Korea,KOR,2021-06-05,10079107,7512634,2296644,22,144963,334858,19.45,14.5,4.43,0.0,6462,309767,0.598
South Korea,KOR,2021-06-06,10083912,7516658,2297464,23,4805,334551,19.46,14.51,4.43,0.0,6457,309441,0.597
South Korea,KOR,2021-06-07,10999889,8401693,2318205,24,915977,406081,21.23,16.21,4.47,0.0,7837,381480,0.736
South Korea,KOR,2021-06-08,11772996,9139055,2342770,27,773107,431422,22.72,17.64,4.52,0.0,8326,406821,0.785
South Korea,KOR,2021-06-09,12392172,9725435,2364937,28,619176,461671,23.92,18.77,4.56,0.0,8910,436712,0.843
South Korea,KOR,2021-06-10,13196355,10486186,2650559,29,804183,523418,25.47,20.24,5.12,0.0,10102,496915,0.959
South Korea,KOR,2021-06-11,14060612,11307603,2887190,30,864257,589495,27.14,21.82,5.57,0.0,11377,562115,1.085
South Korea,KOR,2021-06-12,14457197,11695434,3007899,31,396585,625441,27.9,22.57,5.8,0.0,12070,597543,1.153
South Korea,KOR,2021-06-13,14487421,11723927,3021356,33,30224,629073,27.96,22.63,5.83,0.0,12141,601038,1.16
South Korea,KOR,2021-06-14,15343790,12488919,3273424,36,856369,620557,29.61,24.1,6.32,0.0,11976,583889,1.127
South Korea,KOR,2021-06-15,16088588,13132652,3475488,36,744798,616513,31.05,25.34,6.71,0.0,11898,570514,1.101
South Korea,KOR,2021-06-16,16763126,13698806,3750809,37,674538,624422,32.35,26.44,7.24,0.0,12051,567624,1.095
South Korea,KOR,2021-06-17,17311443,14139838,3874540,38,548317,587870,33.41,27.29,7.48,0.0,11345,521950,1.007
South Korea,KOR,2021-06-18,17948137,14675137,3999229,39,636694,555361,34.64,28.32,7.72,0.0,10718,481076,0.928
South Korea,KOR,2021-06-19,18184066,14891347,4036200,40,235929,532410,35.09,28.74,7.79,0.0,10275,456559,0.881
South Korea,KOR,2021-06-20,18187621,14892876,4038709,40,3555,528600,35.1,28.74,7.79,0.0,10202,452707,0.874
South Korea,KOR,2021-06-21,18351270,14941399,4150530,41,163649,429640,35.42,28.84,8.01,0.0,8292,350354,0.676
South Korea,KOR,2021-06-22,18525247,14991113,4269989,44,173977,348094,35.75,28.93,8.24,0.0,6718,265494,0.512
South Korea,KOR,2021-06-23,18690657,15036328,4384507,45,165410,275362,36.07,29.02,8.46,0.0,5314,191075,0.369
South Korea,KOR,2021-06-24,18846196,15083255,4487902,46,155539,219250,36.37,29.11,8.66,0.0,4231,134774,0.26
South Korea,KOR,2021-06-25,19009752,15148552,4582001,47,163556,151659,36.69,29.24,8.84,0.0,2927,67631,0.131
South Korea,KOR,2021-06-26,19047380,15161101,4606295,47,37628,123331,36.76,29.26,8.89,0.0,2380,38536,0.074
South Korea,KOR,2021-06-27,19050317,15162046,4608384,47,2937,123242,36.77,29.26,8.89,0.0,2378,38453,0.074
South Korea,KOR,2021-06-28,19210078,15176596,4748597,48,159761,122687,37.07,29.29,9.16,0.0,2368,33600,0.065
South Korea,KOR,2021-06-29,19374157,15195167,4888554,49,164079,121273,37.39,29.33,9.43,0.0,2340,29151,0.056
South Korea,KOR,2021-06-30,19528530,15212009,5021096,50,154373,119696,37.69,29.36,9.69,0.0,2310,25097,0.048
South Korea,KOR,2021-07-01,19656844,15219367,5138897,51,128314,115807,37.94,29.37,9.92,0.0,2235,19445,0.038
South Korea,KOR,2021-07-02,19786359,15227627,5257591,51,129515,110944,38.19,29.39,10.15,0.0,2141,11296,0.022
South Korea,KOR,2021-07-03,19807668,15231133,5275104,53,21309,108613,38.23,29.39,10.18,0.0,2096,10005,0.019
South Korea,KOR,2021-07-04,19810340,15232583,5276375,53,2672,108575,38.23,29.4,10.18,0.0,2095,10077,0.019
South Korea,KOR,2021-07-05,19945128,15289223,5353284,53,134788,105007,38.49,29.51,10.33,0.0,2027,16090,0.031
South Korea,KOR,2021-07-06,20078420,15330017,5444158,55,133292,100609,38.75,29.59,10.51,0.0,1942,19264,0.037
South Korea,KOR,2021-07-07,20206639,15367421,5533494,57,128219,96873,39.0,29.66,10.68,0.0,1870,22202,0.043
South Korea,KOR,2021-07-08,20355091,15407751,5640084,61,148452,99750,39.28,29.74,10.88,0.0,1925,26912,0.052
South Korea,KOR,2021-07-09,20565991,15467902,5789601,64,210900,111376,39.69,29.85,11.17,0.0,2149,34325,0.066
South Korea,KOR,2021-07-10,20620963,15482218,5830179,68,54972,116185,39.8,29.88,11.25,0.0,2242,35869,0.069
South Korea,KOR,2021-07-11,20624381,15483779,5832094,70,3418,116292,39.8,29.88,11.26,0.0,2244,35885,0.069
South Korea,KOR,2021-07-12,20752526,15516267,5926367,80,128145,115343,40.05,29.95,11.44,0.0,2226,32435,0.063
South Korea,KOR,2021-07-13,20973975,15625795,6036789,82,221449,127936,40.48,30.16,11.65,0.0,2469,42254,0.082
South Korea,KOR,2021-07-14,21211687,15739204,6159605,90,237712,143578,40.94,30.38,11.89,0.0,2771,53112,0.103
South Korea,KOR,2021-07-15,21480868,15863629,6303059,99,269181,160825,41.46,30.62,12.16,0.0,3104,65125,0.126
South Korea,KOR,2021-07-16,21803528,15999839,6488243,101,322660,176791,42.08,30.88,12.52,0.0,3412,75991,0.147
South Korea,KOR,2021-07-17,21877402,16035569,6526235,107,73874,179491,42.22,30.95,12.6,0.0,3464,79050,0.153
South Korea,KOR,2021-07-18,21882169,16038895,6527724,109,4767,179684,42.23,30.95,12.6,0.0,3468,79302,0.153
South Korea,KOR,2021-07-19,22116804,16200242,6599933,112,234635,194897,42.68,31.27,12.74,0.0,3761,97711,0.189
South Korea,KOR,2021-07-20,22332134,16352162,6662185,113,215330,194023,43.1,31.56,12.86,0.0,3744,103767,0.2
South Korea,KOR,2021-07-21,22515179,16493104,6703521,113,183045,186213,43.45,31.83,12.94,0.0,3594,107700,0.208
South Korea,KOR,2021-07-22,22719169,16634896,6765053,115,203990,176900,43.85,32.1,13.06,0.0,3414,110181,0.213
South Korea,KOR,2021-07-23,22929554,16782720,6827088,118,210385,160861,44.25,32.39,13.18,0.0,3104,111840,0.216
South Korea,KOR,2021-07-24,22972834,16813008,6840083,120,43280,156490,44.34,32.45,13.2,0.0,3020,111063,0.214
South Korea,KOR,2021-07-25,22976534,16815338,6841548,123,3700,156338,44.34,32.45,13.2,0.0,3017,110920,0.214
South Korea,KOR,2021-07-26,23664308,17434342,6908577,131,687774,221072,45.67,33.65,13.33,0.0,4266,176300,0.34
South Korea,KOR,2021-07-27,24098552,17816881,6959062,137,434244,252345,46.51,34.39,13.43,0.0,4870,209246,0.404
South Korea,KOR,2021-07-28,24624789,18297560,7003559,148,526237,301373,47.52,35.31,13.52,0.0,5816,257779,0.497
South Korea,KOR,2021-07-29,25019518,18646185,7048838,158,394729,328621,48.29,35.99,13.6,0.0,6342,287327,0.555
South Korea,KOR,2021-07-30,25580635,19144096,7110866,166,561117,378726,49.37,36.95,13.72,0.0,7309,337339,0.651
South Korea,KOR,2021-07-31,25812578,19360593,7126005,174,231943,405678,49.82,37.36,13.75,0.0,7829,363941,0.702
South Korea,KOR,2021-08-01,25842962,19389271,7127722,181,30384,409490,49.87,37.42,13.76,0.0,7903,367705,0.71
South Korea,KOR,2021-08-02,26359541,19866308,7165494,193,516579,385033,50.87,38.34,13.83,0.0,7431,347424,0.67
South Korea,KOR,2021-08-03,26690807,20087641,7274238,207,331266,370322,51.51,38.77,14.04,0.0,7147,324394,0.626
South Korea,KOR,2021-08-04,26970690,20254658,7385923,226,279883,335129,52.05,39.09,14.25,0.0,6468,279585,0.54
South Korea,KOR,2021-08-05,27294969,20449209,7514196,232,324279,325064,52.68,39.47,14.5,0.0,6273,257575,0.497
South Korea,KOR,2021-08-06,27710934,20706374,7671512,237,415965,304328,53.48,39.96,14.81,0.0,5873,223183,0.431
South Korea,KOR,2021-08-07,27871300,20829142,7708843,246,160366,294103,53.79,40.2,14.88,0.0,5676,209793,0.405
South Korea,KOR,2021-08-08,27903526,20857896,7712303,255,32226,294366,53.85,40.25,14.88,0.0,5681,209804,0.405
South Korea,KOR,2021-08-09,28517450,21293565,7887381,281,613924,308273,55.04,41.09,15.22,0.0,5949,203894,0.393
South Korea,KOR,2021-08-10,28953907,21556814,8057753,304,436457,323300,55.88,41.6,15.55,0.0,6239,209882,0.405
South Korea,KOR,2021-08-11,29298585,21735049,8221858,329,344678,332556,56.54,41.95,15.87,0.0,6418,211484,0.408
South Korea,KOR,2021-08-12,30176957,21904185,8924159,352,878372,411713,58.24,42.27,17.22,0.0,7946,207854,0.401
South Korea,KOR,2021-08-13,31044211,22148097,9542173,368,867254,476182,59.91,42.74,18.42,0.0,9190,205960,0.397
South Korea,KOR,2021-08-14,31372097,22291979,9724806,387,327886,500114,60.55,43.02,18.77,0.0,9652,208977,0.403
South Korea,KOR,2021-08-15,31397602,22311081,9731168,416,25505,499154,60.59,43.06,18.78,0.0,9633,207598,0.401
South Korea,KOR,2021-08-16,32328839,22982290,9987389,457,931237,544484,62.39,44.35,19.27,0.0,10508,241246,0.466
South Korea,KOR,2021-08-17,33552634,23706229,10480255,496,1223795,656961,64.75,45.75,20.23,0.0,12679,307059,0.593
South Korea,KOR,2021-08-18,34399086,24229104,10798709,539,846452,728643,66.39,46.76,20.84,0.0,14062,356294,0.688
South Korea,KOR,2021-08-19,35200396,24733771,11091272,590,801310,717634,67.93,47.73,21.41,0.0,13850,404227,0.78
South Korea,KOR,2021-08-20,36227454,25424429,11423588,621,1027058,740463,69.92,49.07,22.05,0.0,14290,468047,0.903
South Korea,KOR,2021-08-21,36718238,25789628,11547681,669,490784,763734,70.86,49.77,22.29,0.0,14739,499664,0.964
South Korea,KOR,2021-08-22,36762084,25830365,11550723,697,43846,766355,70.95,49.85,22.29,0.0,14790,502755,0.97
South Korea,KOR,2021-08-23,37867166,26218181,12266878,737,1105082,791190,73.08,50.6,23.67,0.0,15269,462270,0.892
South Korea,KOR,2021-08-24,38870103,26622983,12868451,805,1002937,759638,75.02,51.38,24.83,0.0,14660,416679,0.804
South Korea,KOR,2021-08-25,39717231,27000275,13344624,854,847128,759735,76.65,52.11,25.75,0.0,14662,395882,0.764
South Korea,KOR,2021-08-26,40789895,27653684,13769042,908,1072664,798500,78.72,53.37,26.57,0.0,15410,417130,0.805
South Korea,KOR,2021-08-27,41938627,28256148,14318283,959,1148732,815882,80.94,54.53,27.63,0.0,15746,404531,0.781
South Korea,KOR,2021-08-28,42466267,28532745,14573849,998,527640,821147,81.96,55.07,28.13,0.0,15847,391874,0.756
South Korea,KOR,2021-08-29,42497290,28549447,14590343,1032,31023,819315,82.02,55.1,28.16,0.0,15812,388440,0.75
South Korea,KOR,2021-08-30,43478752,28939130,15186706,1092,981462,801655,83.91,55.85,29.31,0.0,15471,388707,0.75
South Korea,KOR,2021-08-31,44243068,29186953,15714263,1161,764316,767566,85.39,56.33,30.33,0.0,14813,366281,0.707
South Korea,KOR,2021-09-01,44941181,29365721,16247391,1239,698113,746279,86.73,56.67,31.36,0.0,14403,337921,0.652
South Korea,KOR,2021-09-02,45610898,29552210,16745567,1340,669717,688715,88.03,57.03,32.32,0.0,13292,271218,0.523
South Korea,KOR,2021-09-03,46528701,29785946,17442836,1395,917803,655725,89.8,57.48,33.66,0.0,12655,218543,0.422
South Korea,KOR,2021-09-04,46900736,29905218,17703453,1426,372035,633496,90.51,57.71,34.17,0.0,12226,196068,0.378
South Korea,KOR,2021-09-05,46916025,29914239,17712324,1444,15289,631248,90.54,57.73,34.18,0.0,12183,194970,0.376
South Korea,KOR,2021-09-06,48286973,30657664,18346336,1497,1370948,686889,93.19,59.17,35.41,0.0,13256,245505,0.474
South Korea,KOR,2021-09-07,49273180,31232140,18767392,1567,986207,718587,95.09,60.28,36.22,0.0,13868,292170,0.564
South Korea,KOR,2021-09-08,49956003,31618205,19074730,1629,682823,716403,96.41,61.02,36.81,0.0,13826,321783,0.621
South Korea,KOR,2021-09-09,50678442,32058443,19367052,1689,722439,723935,97.8,61.87,37.38,0.0,13971,358033,0.691
South Korea,KOR,2021-09-10,51740455,32711450,19785141,1764,1062013,744536,99.85,63.13,38.18,0.0,14369,417929,0.807
South Korea,KOR,2021-09-11,52273189,33040346,19998058,1808,532734,767493,100.88,63.76,38.59,0.0,14812,447875,0.864
South Korea,KOR,2021-09-12,52318895,33062794,20024236,1828,45706,771839,100.97,63.81,38.65,0.0,14896,449794,0.868
South Korea,KOR,2021-09-13,53564250,33890252,20446985,1892,1245355,753897,103.37,65.41,39.46,0.0,14550,461798,0.891
South Korea,KOR,2021-09-14,54382516,34492086,20671843,1973,818266,729905,104.95,66.57,39.89,0.0,14087,465707,0.899
South Korea,KOR,2021-09-15,55190583,34868448,21111157,2048,808067,747797,106.51,67.29,40.74,0.0,14432,464320,0.896
South Korea,KOR,2021-09-16,55926828,35299138,21424839,2107,736245,749769,107.93,68.12,41.35,0.0,14470,462956,0.893
South Korea,KOR,2021-09-17,57023008,35960077,21869927,2171,1096180,754650,110.05,69.4,42.21,0.0,14564,464090,0.896
South Korea,KOR,2021-09-18,57602433,36352761,22060844,2215,579425,761321,111.17,70.16,42.58,0.0,14693,473202,0.913
South Korea,KOR,2021-09-19,57650395,36374433,22087280,2237,47962,761643,111.26,70.2,42.63,0.0,14699,473091,0.913
South Korea,KOR,2021-09-20,57695598,36404820,22102081,2285,45203,590193,111.35,70.26,42.66,0.0,11390,359224,0.693
South Korea,KOR,2021-09-21,57707747,36411843,22107230,2333,12149,475033,111.37,70.27,42.67,0.0,9168,274251,0.529
South Korea,KOR,2021-09-22,57752670,36439946,22124146,2397,44923,366012,111.46,70.33,42.7,0.0,7064,224500,0.433
South Korea,KOR,2021-09-23,58688243,37001551,22501359,2475,935573,394488,113.26,71.41,43.43,0.0,7613,243202,0.469
South Korea,KOR,2021-09-24,59717962,37618639,22916931,2545,1029719,384993,115.25,72.6,44.23,0.0,7430,236937,0.457
South Korea,KOR,2021-09-25,60247412,37932124,23133131,2604,529450,377854,116.27,73.21,44.64,0.01,7292,225623,0.435
South Korea,KOR,2021-09-26,60297927,37958860,23157574,2650,50515,378219,116.37,73.26,44.69,0.01,7299,226347,0.437
South Korea,KOR,2021-09-27,61425278,38376094,23868956,2760,1127351,532811,118.55,74.06,46.07,0.01,10283,281611,0.543
South Korea,KOR,2021-09-28,62371771,38633705,24558888,2864,946493,666289,120.37,74.56,47.4,0.01,12859,317409,0.613
South Korea,KOR,2021-09-29,63127705,38865478,25085331,3012,755934,767862,121.83,75.01,48.41,0.01,14819,346505,0.669
South Korea,KOR,2021-09-30,64012569,39209778,25627350,3139,884864,760618,123.54,75.67,49.46,0.01,14679,315461,0.609
South Korea,KOR,2021-10-01,65110220,39446504,26488125,3305,1097651,770323,125.66,76.13,51.12,0.01,14867,261124,0.504
South Korea,KOR,2021-10-02,65641361,39571284,26895412,3379,531141,770564,126.68,76.37,51.91,0.01,14871,234166,0.452
South Korea,KOR,2021-10-03,65678755,39574902,26929173,3443,37394,768690,126.75,76.38,51.97,0.01,14835,230863,0.446
South Korea,KOR,2021-10-04,65915475,39600716,27139586,3589,236720,641457,127.21,76.43,52.38,0.01,12380,174946,0.338
South Korea,KOR,2021-10-05,66726223,39646106,27904408,3738,810748,622065,128.78,76.51,53.85,0.01,12005,144629,0.279
South Korea,KOR,2021-10-06,67273387,39683431,28414466,3884,547164,592240,129.83,76.59,54.84,0.01,11430,116850,0.226
South Korea,KOR,2021-10-07,68020644,39720498,29124306,4010,747257,572582,131.27,76.66,56.21,0.01,11050,72960,0.141
South Korea,KOR,2021-10-08,69164868,39765892,30222369,4139,1144224,579235,133.48,76.74,58.33,0.01,11179,45627,0.088
